135.022659,35.022655,26.40,987.90,56.80,3.60,-4.00,82.78,8.10,-3.20,-2.00,105,26.80,93,238,-0.50,"-1.10"
135.022659,35.022659,29.80,980.60,95.70,-3.70,-0.50,84.11,7.10,-2.60,2.60,187,28.30,92,258,4.80,"2.30"
135.022659,35.022663,26.50,1006.40,28.50,-4.80,-1.60,84.67,7.10,-4.50,-3.40,148,26.30,111,239,2.70,"-2.40"
135.022675,35.022671,29.20,1015.50,77.10,1.20,-3.90,80.78,7.00,0.40,1.10,162,26.20,125,267,0.30,"1.30"
135.022675,35.022675,27.30,984.20,82.20,3.50,2.60,84.56,7.30,2.80,-1.20,197,27.70,112,238,-2.40,"-0.10"
135.022675,35.022678,26.90,986.90,3.90,1.90,2.50,82.11,7.00,-2.40,-2.90,189,28.90,90,238,1.80,"-3.70"
135.022690,35.022686,29.10,975.00,81.80,-4.00,0.50,80.89,8.00,-2.60,0.30,147,28.50,108,252,0.20,"1.10"
135.022690,35.022690,26.70,1014.90,57.50,-4.90,4.00,83.22,8.30,2.20,0.00,135,25.70,130,253,2.00,"-4.70"
135.022690,35.022694,28.10,992.30,94.60,3.80,-0.40,83.22,7.30,-2.60,-1.20,177,28.40,101,229,-4.40,"-5.00"
135.022705,35.022701,26.10,980.40,45.80,2.20,-3.50,80.89,7.80,2.40,-2.50,152,29.80,124,239,-0.10,"-0.50"
135.022705,35.022705,29.10,980.90,26.10,-4.90,1.80,84.67,8.40,1.50,-3.70,172,25.70,91,245,-2.10,"-4.00"
135.022705,35.022709,28.70,977.80,53.50,-2.90,-2.30,81.44,7.00,2.70,4.40,188,25.60,110,242,-0.50,"4.50"
135.022720,35.022717,29.10,1008.50,12.80,-0.90,0.30,82.44,7.50,-1.60,3.20,149,25.60,117,239,4.80,"-1.00"
135.022720,35.022720,26.80,1001.60,14.70,2.00,-2.60,82.44,7.70,-2.30,-1.70,146,28.60,137,236,4.30,"-1.80"
135.022720,35.022724,29.30,983.10,43.90,4.10,-0.10,80.44,8.00,0.00,-4.30,134,26.00,91,221,-3.80,"-1.80"
135.022736,35.022732,29.20,977.70,80.00,0.60,-1.80,80.56,8.20,-2.20,-0.80,145,25.30,91,221,-4.00,"-3.90"
